Player,Position,Age,Matches Played,Matches Started,Minutes,90s,Goals,Assists,Goals and Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals and Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Season
Rodri,Midfielders,27,34,34,2931.0,32.6,8.0,9.0,17.0,8.0,0.0,0.0,8.0,1.0,0.25,0.28,0.52,0.25,0.52,2023-2024
Phil Foden,"Forwards, Midfielders",23,35,33,2857.0,31.7,19.0,8.0,27.0,19.0,0.0,0.0,2.0,0.0,0.6,0.25,0.85,0.6,0.85,2023-2024
Ederson,Goalkeepers,29,33,33,2785.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
Julián Álvarez,"Midfielders, Forwards",23,36,31,2647.0,29.4,11.0,8.0,19.0,9.0,2.0,2.0,2.0,0.0,0.37,0.27,0.65,0.31,0.58,2023-2024
Kyle Walker,Defenders,33,32,30,2767.0,30.7,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.13,0.13,0.0,0.13,2023-2024
Bernardo Silva,"Midfielders, Forwards",28,33,29,2578.0,28.6,6.0,9.0,15.0,6.0,0.0,0.0,8.0,0.0,0.21,0.31,0.52,0.21,0.52,2023-2024
Erling Haaland,Forwards,23,31,29,2552.0,28.4,27.0,5.0,32.0,20.0,7.0,8.0,1.0,0.0,0.95,0.18,1.13,0.71,0.88,2023-2024
Rúben Dias,Defenders,26,30,28,2559.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
Manuel Akanji,"Defenders, Midfielders",28,30,28,2511.0,27.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.07,0.0,0.07,0.07,0.07,2023-2024
Joško Gvardiol,Defenders,21,28,26,2328.0,25.9,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.15,0.04,0.19,0.15,0.19,2023-2024
Nathan Aké,Defenders,28,29,24,2042.0,22.7,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.09,0.09,0.18,0.09,0.18,2023-2024
Jeremy Doku,"Forwards, Midfielders",21,29,18,1595.0,17.7,3.0,8.0,11.0,3.0,0.0,0.0,3.0,0.0,0.17,0.45,0.62,0.17,0.62,2023-2024
Mateo Kovačić,Midfielders,29,30,16,1551.0,17.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,2023-2024
Kevin De Bruyne,Midfielders,32,18,15,1221.0,13.6,4.0,10.0,14.0,4.0,0.0,0.0,2.0,0.0,0.29,0.74,1.03,0.29,1.03,2023-2024
John Stones,"Defenders, Midfielders",29,16,12,1064.0,11.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,2023-2024
Jack Grealish,"Forwards, Midfielders",27,20,10,1009.0,11.2,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,0.27,0.09,0.36,0.27,0.36,2023-2024
Rico Lewis,"Defenders, Midfielders",18,16,8,809.0,9.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.22,0.0,0.22,0.22,0.22,2023-2024
Matheus Nunes,Midfielders,24,17,7,661.0,7.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,2023-2024
Stefan Ortega,Goalkeepers,30,9,5,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
