category,value,x,y,group,subcategory,year,stacked_group_1,stacked_group_2,stacked_group_3,box_value
Category 0,29,3.4143649604852278,46.42729670071277,Group 0,Subcategory 0,2018,51,77,22,21.523142665733715
Category 1,12,8.644703525678377,0.8774403377895479,Group 1,Subcategory 1,2019,95,50,53,56.81031318036181
Category 2,76,7.462459884643424,30.96752189438061,Group 2,Subcategory 2,2020,91,68,68,22.628305032824883
Category 3,98,8.037736902718084,67.44712205701748,Group 0,Subcategory 3,2021,70,38,59,41.500204612122225
Category 4,85,16.24980961248097,13.68011092499728,Group 1,Subcategory 4,2022,86,55,42,13.104968844686569
Category 0,16,19.78490502360637,31.720426212526952,Group 2,Subcategory 5,2018,82,74,58,83.27550650858112
Category 1,11,24.123314872922386,45.128212839050676,Group 0,Subcategory 6,2019,60,82,48,52.216924599072364
Category 2,90,35.16346712143517,74.96662349367261,Group 1,Subcategory 7,2020,56,47,15,89.01538662453898
Category 3,89,46.335546613244325,84.58346086459272,Group 2,Subcategory 8,2021,64,59,17,61.99582941676128
Category 4,82,73.59011374811064,2.5216732234801253,Group 0,Subcategory 9,2022,82,37,34,75.11022266270083
Category 0,78,36.07605856085754,25.443518661055066,Group 1,Subcategory 0,2018,61,81,54,23.027996304581194
Category 1,42,89.02693976946867,93.1978867269614,Group 2,Subcategory 1,2019,58,77,52,40.46085586536332
Category 2,54,7.440253164417432,45.01499849690146,Group 0,Subcategory 2,2020,81,85,20,22.281678672095772
Category 3,63,11.728984839155087,4.121401396618751,Group 1,Subcategory 3,2021,57,34,35,85.4053469893398
Category 4,86,77.6176935522584,99.55833578323951,Group 2,Subcategory 4,2022,100,49,60,12.267497547763803
Category 0,72,87.82212460408095,99.75000478081782,Group 0,Subcategory 5,2018,68,83,32,63.28731078916655
Category 1,83,92.44794360412558,56.014762172478484,Group 1,Subcategory 6,2019,75,86,45,80.6012188395351
Category 2,92,46.921087448039145,92.12209708739033,Group 2,Subcategory 7,2020,94,78,57,18.86627361955636
Category 3,78,74.30152401753264,33.916694657955915,Group 0,Subcategory 8,2021,87,65,52,11.229480970875445
Category 4,12,48.04310775200341,64.21988373770753,Group 1,Subcategory 9,2022,60,48,22,74.22202238665326
Category 0,37,54.276800748123144,8.975649223352411,Group 2,Subcategory 0,2018,51,83,57,20.480254797141168
Category 1,21,73.33216377556953,98.91655628100355,Group 0,Subcategory 1,2019,98,32,53,81.48077482858595
Category 2,95,55.3324655823871,90.44305283305087,Group 1,Subcategory 2,2020,56,52,35,58.62645961409224
Category 3,38,36.28030502449489,13.985585113441413,Group 2,Subcategory 3,2021,54,40,16,98.86668518682326
Category 4,22,40.5030652398673,24.336119881603548,Group 0,Subcategory 4,2022,56,83,70,83.5646789177826
Category 0,17,22.589396709113352,84.18377482480021,Group 1,Subcategory 5,2018,92,70,48,57.564846258677704
Category 1,92,18.172889740663678,95.00907847433679,Group 2,Subcategory 6,2019,90,78,60,68.74435456382244
Category 2,13,57.18734936349041,89.64335036949535,Group 0,Subcategory 7,2020,89,33,15,53.284992777739454
Category 3,82,82.40056386031878,92.94444390137099,Group 1,Subcategory 8,2021,85,78,23,83.3282497645884
Category 4,90,14.676401668440509,83.23131962098682,Group 2,Subcategory 9,2022,92,65,65,69.39103412768176
Category 0,31,53.2525430262521,10.904177132350002,Group 0,Subcategory 0,2018,75,49,43,23.181365095058638
Category 1,23,6.113753281130585,21.671128628222046,Group 1,Subcategory 1,2019,79,77,17,12.464598635210269
Category 2,91,18.976473676663453,1.9836492201478428,Group 2,Subcategory 2,2020,51,55,23,53.3435534450051
Category 3,24,12.869041636318979,68.15851272913902,Group 0,Subcategory 3,2021,95,37,69,57.476870938171096
Category 4,59,74.35076239921148,24.58126167366671,Group 1,Subcategory 4,2022,85,36,52,98.36676296073689
Category 0,42,43.687241333554596,65.22790245549362,Group 2,Subcategory 5,2018,51,41,49,91.85802039712813
Category 1,93,40.9358615448239,58.06374593459515,Group 0,Subcategory 6,2019,90,46,52,67.77627101449299
Category 2,87,23.722596183568644,4.4213458512923465,Group 1,Subcategory 7,2020,98,31,44,11.37387008602468
Category 3,78,9.530935437831179,76.84967156463446,Group 2,Subcategory 8,2021,64,53,58,14.107011377602408
Category 4,21,36.171919081251914,32.92583819007211,Group 0,Subcategory 9,2022,63,49,28,49.58697905145487
Category 0,59,76.55184229570209,50.41059820403635,Group 1,Subcategory 0,2018,54,90,24,71.6080402972103
Category 1,69,31.319538963841588,72.81557169551924,Group 2,Subcategory 1,2019,77,84,11,96.4939455272306
Category 2,66,9.980651020651143,73.11516932682038,Group 0,Subcategory 2,2020,64,40,24,75.85093520125893
Category 3,49,3.992088714365216,38.624943817577226,Group 1,Subcategory 3,2021,55,80,30,53.132169776654386
Category 4,27,37.26155318783886,66.3794403663998,Group 2,Subcategory 4,2022,69,51,43,78.50401771766826
Category 0,65,94.36588884712978,37.371147410195924,Group 0,Subcategory 5,2018,85,76,35,14.044081838247394
Category 1,61,50.23810188208048,40.025043434432064,Group 1,Subcategory 6,2019,80,45,29,26.400963476741413
Category 2,74,99.20682828850774,34.904859515518346,Group 2,Subcategory 7,2020,88,55,39,76.69501276891923
Category 3,26,23.784228900723015,33.852655019468415,Group 0,Subcategory 8,2021,58,61,57,45.042714211011514
Category 4,35,89.19879630997352,86.7805238592045,Group 1,Subcategory 9,2022,69,67,62,86.41775876239734
